id_pharmay,total_visites,premiere_visite,derniere_visite,nb_delegues,jours_depuis_visite
45091,1,2025-07-17,2025-07-17,1,245
45122,3,2022-07-12,2022-12-06,1,1199
45162,5,2022-09-30,2022-11-25,1,1210
45643,1,2025-08-25,2025-08-25,1,206
45806,1,2026-01-08,2026-01-08,1,70
45907,1,2024-03-22,2024-03-22,1,727
46104,1,2025-11-28,2025-11-28,1,111
47785,1,2024-05-29,2024-05-29,1,659
47788,3,2024-03-19,2024-04-03,1,715
48879,1,2024-06-20,2024-06-20,1,637
50311,7,2024-07-19,2025-08-07,2,224
50501,1,2024-12-12,2024-12-12,1,462
